id,ThanaCode,Upazila,DistrictCode,District,DivisionCode,DivisionName,
1,1,Akkelpur Upazila,1,Joypurhat District,1,Rajshahi Division,130
2,2,Joypurhat Sadar Upazila,1,Joypurhat District,1,Rajshahi Division,130
3,3,Kalai Upazila,1,Joypurhat District,1,Rajshahi Division,130
4,4,Khetlal Upazila,1,Joypurhat District,1,Rajshahi Division,130
5,5,Panchbibi Upazila,1,Joypurhat District,1,Rajshahi Division,130
6,6,Adamdighi Upazila,2,Bogra District,1,Rajshahi Division,130
7,7,Bogra Sadar Upazila,2,Bogra District,1,Rajshahi Division,130
8,8,Dhunat Upazila,2,Bogra District,1,Rajshahi Division,130
9,9,Dhupchanchia Upazila,2,Bogra District,1,Rajshahi Division,130
10,10,Gabtali Upazila,2,Bogra District,1,Rajshahi Division,130
11,11,Kahaloo Upazila,2,Bogra District,1,Rajshahi Division,130
12,12,Nandigram Upazila,2,Bogra District,1,Rajshahi Division,130
13,13,Sariakandi Upazila,2,Bogra District,1,Rajshahi Division,130
14,14,Shajahanpur Upazila,2,Bogra District,1,Rajshahi Division,130
15,15,Sherpur Upazila,2,Bogra District,1,Rajshahi Division,130
16,16,Shibganj Upazila,2,Bogra District,1,Rajshahi Division,130
17,17,Sonatola Upazila,2,Bogra District,1,Rajshahi Division,130
18,18,Atrai Upazila,3,Naogaon District,1,Rajshahi Division,130
19,19,Badalgachhi Upazila,3,Naogaon District,1,Rajshahi Division,130
20,20,Manda Upazila,3,Naogaon District,1,Rajshahi Division,130
21,21,Dhamoirhat Upazila,3,Naogaon District,1,Rajshahi Division,130
22,22,Mohadevpur Upazila,3,Naogaon District,1,Rajshahi Division,130
23,23,Naogaon Sadar Upazila,3,Naogaon District,1,Rajshahi Division,130
24,24,Niamatpur Upazila,3,Naogaon District,1,Rajshahi Division,130
25,25,Patnitala Upazila,3,Naogaon District,1,Rajshahi Division,130
26,26,Porsha Upazila,3,Naogaon District,1,Rajshahi Division,130
27,27,Raninagar Upazila,3,Naogaon District,1,Rajshahi Division,130
28,28,Sapahar Upazila,3,Naogaon District,1,Rajshahi Division,130
29,29,Bagatipara Upazila,4,Natore District,1,Rajshahi Division,130
30,30,Baraigram Upazila,4,Natore District,1,Rajshahi Division,130
31,31,Gurudaspur Upazila,4,Natore District,1,Rajshahi Division,130
32,32,Lalpur Upazila,4,Natore District,1,Rajshahi Division,130
33,33,Natore Sadar Upazila,4,Natore District,1,Rajshahi Division,130
34,34,Singra Upazila,4,Natore District,1,Rajshahi Division,130
35,35,Naldanga Upazila,4,Natore District,1,Rajshahi Division,130
36,36,Bholahat Upazila,5,Nawabganj District,1,Rajshahi Division,130
37,37,Gomastapur Upazila,5,Nawabganj District,1,Rajshahi Division,130
38,38,Nachole Upazila,5,Nawabganj District,1,Rajshahi Division,130
39,39,Nawabganj Sadar Upazila,5,Nawabganj District,1,Rajshahi Division,130
40,40,Shibganj Upazila,5,Nawabganj District,1,Rajshahi Division,130
41,41,Ataikula Upazila,6,Pabna District,1,Rajshahi Division,130
42,42,Atgharia Upazila,6,Pabna District,1,Rajshahi Division,130
43,43,Bera Upazila,6,Pabna District,1,Rajshahi Division,130
44,44,Bhangura Upazila,6,Pabna District,1,Rajshahi Division,130
45,45,Chatmohar Upazila,6,Pabna District,1,Rajshahi Division,130
46,46,Faridpur Upazila,6,Pabna District,1,Rajshahi Division,130
47,47,Ishwardi Upazila,6,Pabna District,1,Rajshahi Division,130
48,48,Pabna Sadar Upazila,6,Pabna District,1,Rajshahi Division,130
49,49,Santhia Upazila,6,Pabna District,1,Rajshahi Division,130
50,50,Sujanagar Upazila,6,Pabna District,1,Rajshahi Division,130
51,51,Belkuchi Upazila,7,Sirajganj District,1,Rajshahi Division,130
52,52,Chauhali Upazila,7,Sirajganj District,1,Rajshahi Division,130
53,53,Kamarkhanda Upazila,7,Sirajganj District,1,Rajshahi Division,130
54,54,Kazipur Upazila,7,Sirajganj District,1,Rajshahi Division,130
55,55,Raiganj Upazila,7,Sirajganj District,1,Rajshahi Division,130
56,56,Shahjadpur Upazila,7,Sirajganj District,1,Rajshahi Division,130
57,57,Sirajganj Sadar Upazila,7,Sirajganj District,1,Rajshahi Division,130
58,58,Tarash Upazila,7,Sirajganj District,1,Rajshahi Division,130
59,59,Ullahpara Upazila,7,Sirajganj District,1,Rajshahi Division,130
60,60,Bagha Upazila,8,Rajshahi District,1,Rajshahi Division,130
61,61,Bagmara Upazila,8,Rajshahi District,1,Rajshahi Division,130
62,62,Charghat Upazila,8,Rajshahi District,1,Rajshahi Division,130
63,63,Durgapur Upazila,8,Rajshahi District,1,Rajshahi Division,130
64,64,Godagari Upazila,8,Rajshahi District,1,Rajshahi Division,130
65,65,Mohanpur Upazila,8,Rajshahi District,1,Rajshahi Division,130
66,66,Paba Upazila,8,Rajshahi District,1,Rajshahi Division,130
67,67,Puthia Upazila,8,Rajshahi District,1,Rajshahi Division,130
68,68,Tanore Upazila,8,Rajshahi District,1,Rajshahi Division,130
69,69,Boalia Thana,8,Rajshahi District,1,Rajshahi Division,130
70,70,Matihar Thana,8,Rajshahi District,1,Rajshahi Division,130
71,71,Rajpara Thana,8,Rajshahi District,1,Rajshahi Division,130
72,72,Shah Mokdum Thana,8,Rajshahi District,1,Rajshahi Division,130
73,73,Birampur Upazila,9,Dinajpur District,2,Rangpur Division,130
74,74,Birganj Upazila,9,Dinajpur District,2,Rangpur Division,130
75,75,Biral Upazila,9,Dinajpur District,2,Rangpur Division,130
76,76,Bochaganj Upazila,9,Dinajpur District,2,Rangpur Division,130
77,77,Chirirbandar Upazila,9,Dinajpur District,2,Rangpur Division,130
78,78,Phulbari Upazila,9,Dinajpur District,2,Rangpur Division,130
79,79,Ghoraghat Upazila,9,Dinajpur District,2,Rangpur Division,130
80,80,Hakimpur Upazila,9,Dinajpur District,2,Rangpur Division,130
81,81,Kaharole Upazila,9,Dinajpur District,2,Rangpur Division,130
82,82,Khansama Upazila,9,Dinajpur District,2,Rangpur Division,130
83,83,Dinajpur Sadar Upazila,9,Dinajpur District,2,Rangpur Division,130
84,84,Nawabganj Upazila,9,Dinajpur District,2,Rangpur Division,130
85,85,Parbatipur Upazila,9,Dinajpur District,2,Rangpur Division,130
86,86,Phulchhari Upazila,10,Gaibandha District,2,Rangpur Division,130
87,87,Gaibandha Sadar Upazila,10,Gaibandha District,2,Rangpur Division,130
88,88,Gobindaganj Upazila,10,Gaibandha District,2,Rangpur Division,130
89,89,Palashbari Upazila,10,Gaibandha District,2,Rangpur Division,130
90,90,Sadullapur Upazila,10,Gaibandha District,2,Rangpur Division,130
91,91,Sughatta Upazila,10,Gaibandha District,2,Rangpur Division,130
92,92,Sundarganj Upazila,10,Gaibandha District,2,Rangpur Division,130
93,93,Bhurungamari Upazila,11,Kurigram District,2,Rangpur Division,130
94,94,Char Rajibpur Upazila,11,Kurigram District,2,Rangpur Division,130
95,95,Chilmari Upazila,11,Kurigram District,2,Rangpur Division,130
96,96,Phulbari Upazila,11,Kurigram District,2,Rangpur Division,130
97,97,Kurigram Sadar Upazila,11,Kurigram District,2,Rangpur Division,130
98,98,Nageshwari Upazila,11,Kurigram District,2,Rangpur Division,130
99,99,Rajarhat Upazila,11,Kurigram District,2,Rangpur Division,130
100,100,Raomari Upazila,11,Kurigram District,2,Rangpur Division,130
101,101,Ulipur Upazila,11,Kurigram District,2,Rangpur Division,130
102,102,Aditmari Upazila,12,Lalmonirhat District,2,Rangpur Division,130
103,103,Hatibandha Upazila,12,Lalmonirhat District,2,Rangpur Division,130
104,104,Kaliganj Upazila,12,Lalmonirhat District,2,Rangpur Division,130
105,105,Lalmonirhat Sadar Upazila,12,Lalmonirhat District,2,Rangpur Division,130
106,106,Patgram Upazila,12,Lalmonirhat District,2,Rangpur Division,130
107,107,Dimla Upazila,13,Nilphamari District,2,Rangpur Division,130
108,108,Domar Upazila,13,Nilphamari District,2,Rangpur Division,130
109,109,Jaldhaka Upazila,13,Nilphamari District,2,Rangpur Division,130
110,110,Kishoreganj Upazila,13,Nilphamari District,2,Rangpur Division,130
111,111,Nilphamari Sadar Upazila,13,Nilphamari District,2,Rangpur Division,130
112,112,Saidpur Upazila,13,Nilphamari District,2,Rangpur Division,130
113,113,Atwari Upazila,14,Panchagarh District,2,Rangpur Division,130
114,114,Boda Upazila,14,Panchagarh District,2,Rangpur Division,130
115,115,Debiganj Upazila,14,Panchagarh District,2,Rangpur Division,130
116,116,Panchagarh Sadar Upazila,14,Panchagarh District,2,Rangpur Division,130
117,117,Tetulia Upazila,14,Panchagarh District,2,Rangpur Division,130
118,118,Badarganj Upazila,15,Rangpur District,2,Rangpur Division,130
119,119,Gangachhara Upazila,15,Rangpur District,2,Rangpur Division,130
120,120,Kaunia Upazila,15,Rangpur District,2,Rangpur Division,130
121,121,Rangpur Sadar Upazila,15,Rangpur District,2,Rangpur Division,130
122,122,Mithapukur Upazila,15,Rangpur District,2,Rangpur Division,130
123,123,Pirgachha Upazila,15,Rangpur District,2,Rangpur Division,130
124,124,Pirganj Upazila,15,Rangpur District,2,Rangpur Division,130
125,125,Taraganj Upazila,15,Rangpur District,2,Rangpur Division,130
126,126,Baliadangi Upazila,16,Thakurgaon District,2,Rangpur Division,130
127,127,Haripur Upazila,16,Thakurgaon District,2,Rangpur Division,130
128,128,Pirganj Upazila,16,Thakurgaon District,2,Rangpur Division,130
129,129,Ranisankail Upazila,16,Thakurgaon District,2,Rangpur Division,130
130,130,Thakurgaon Sadar Upazila,16,Thakurgaon District,2,Rangpur Division,130
131,131,Amtali Upazila,17,Barguna District,3,Barisal Division,130
132,132,Bamna Upazila,17,Barguna District,3,Barisal Division,130
133,133,Barguna Sadar Upazila,17,Barguna District,3,Barisal Division,130
